"","x"
"1",5880.04770366785
"2",2439.6134541844
"3",14364.8362010398
"4",2222.08586014929
"5",2211.09286803461
"6",6736.061616739
"7",5721.35149324397
"8",1922.21927117211
"9",2539.42171630191
"10",14861.8005403537
"11",10892.0831535261
"12",2543.4541451673
"13",5846.7234694481
"14",5795.54629549258
"15",6218.91445887707
"16",5929.10383132154
"17",6125.40023427152
"18",6158.03184919818
"19",6142.45066680633
"20",2832.46489856932
"21",6446.50612358179
"22",9548.87699123566
"23",9576.46086791582
"24",5749.74792253819
"25",10860.4081708973
"26",10186.613376131
"27",9894.37491858446
"28",13983.6833922269
"29",5955.80103769678
"30",2655.88362432565
"31",2432.44938297702
"32",6241.63318068401
"33",6560.29281257491
"34",2722.34023490113
"35",14299.4385151448
"36",5482.14872572939
"37",10348.2194050563
"38",6274.21277045847
"39",2102.27562029099
"40",2348.30698080406
"41",18364.8491513263
"42",2824.2066993424
"43",2538.02191059248
"44",10025.3082043832
"45",6225.8309503327
"46",6077.97629566272
"47",2379.01514891766
"48",5740.8116249464
"49",1969.78205553199
"50",2874.40135094049
"51",2058.25362821623
"52",2033.06747607764
"53",6400.56414188242
"54",6662.65231087034
"55",15208.8803542674
"56",2426.23004310866
"57",5980.76654997334
"58",10531.5622478017
"59",2037.06361485672
"60",2362.63181666958
"61",6163.4093014057
"62",9955.38149599395
"63",9722.34246500069
"64",2165.30126726284
"65",2226.70764684921
"66",2310.04765815642
"67",10460.8361115685
"68",10393.4490932542
"69",6854.47576420389
"70",1996.10135513104
"71",3027.53865178679
"72",9742.96498838044
"73",10806.5124121769
"74",5994.65146794712
"75",1799.62285484326
"76",5985.48413524671
"77",1889.21913885777
"78",2387.72913035124
"79",2758.6284688188
"80",5874.8437231355
"81",2557.73295598955
"82",5881.63155080468
"83",5990.18464908732
"84",2188.8717134348
"85",6136.26264794615
"86",10190.9309054886
"87",11609.773759684
"88",2270.42133997508
"89",10447.5583288004
"90",19194.0380988285
"91",2458.37662994615
"92",6293.54839457304
"93",6228.22570163765
"94",6761.44413902031
"95",2298.52822727542
"96",18465.4762517359
"97",2291.97912042625
"98",9854.1500749298
"99",14854.441547245
"100",2261.00499481339
"101",5720.74596070152
"102",5987.60321544299
"103",2168.03151342144
"104",2290.17037515389
"105",5888.38974234025
"106",2452.2866600195
"107",6860.58691501325
"108",2561.09802967628
"109",10109.8578650333
"110",18343.923963374
"111",2161.66456520664
"112",10097.9626649307
"113",2434.01165537104
"114",1996.62918206809
"115",6076.7165413311
"116",2590.92369682695
"117",2150.32189497639
"118",6012.06364696292
"119",10466.6748277804
"120",2268.48504366438
"121",6746.02686479786
"122",2495.34876736729
"123",6652.2954714382
"124",5837.59706679213
"125",5677.75100730005
"126",6603.56134675226
"127",2292.83355390067
"128",14872.6494962317
"129",9906.52698582344
"130",2122.90612148672
"131",7206.97550452456
"132",5973.44263947807
"133",6352.01602929018
"134",7009.80200651347
"135",2717.82433212149
"136",6028.06504173138
"137",1858.07397420203
"138",6250.49733993618
"139",18200.0332434152
"140",6217.20410094109
"141",10544.8450217873
"142",6573.56194337432
"143",6052.46073149897
"144",6253.44998852648
"145",5812.19052403289
"146",2542.40980519
"147",2364.93273743639
"148",9820.79002579009
"149",9804.84733366214
"150",2143.73050918764
"151",5921.09454383793
"152",5734.13842215845
"153",6255.30240052938
"154",10653.9821207712
"155",14254.3767627016
"156",17963.0339699941
"157",6720.03621903099
"158",5825.56101968902
"159",5873.15428695184
"160",11309.1690947217
"161",5674.99524967498
"162",3003.65067632823
"163",9843.01635315434
"164",2348.27893494472
"165",6141.68361393082
"166",2170.50159703534
"167",5593.30431962999
"168",10833.5534792157
"169",10137.4650308215
"170",6209.8418089056
"171",2119.03105678619
"172",2681.56750044406
"173",9798.45546064368
"174",6405.18054964164
"175",2216.50909823255
"176",1993.03293472334
"177",6279.93497437608
"178",9977.75423886438
"179",2442.54747551625
"180",5872.46583467286
"181",11348.037829157
"182",2241.52682673779
"183",6089.29670458129
"184",2594.87444993498
"185",2574.73031994289
"186",2542.48592965525
"187",6138.71489462197
"188",13831.9350214054
"189",7222.27612424701
"190",2537.51290948595
"191",6716.70517445134
"192",6244.9496544837
"193",6235.32283552371
"194",2148.68470172446
"195",5994.71654176255
"196",2240.27064824603
"197",3504.59594718075
"198",18610.7577431661
"199",5641.43938629947
"200",2109.34049584456
"201",2354.2155199807
"202",6224.46920970155
"203",1908.40386411661
"204",6096.28318529973
"205",5887.71999881977
"206",14297.7810825159
"207",18234.9375931601
"208",6345.7724696475
"209",6345.1709812457
"210",6954.13574276514
"211",2648.9139482318
"212",2359.48711317261
"213",1768.35858376058
"214",6434.81160996621
"215",9675.67157715467
"216",10018.6529778458
"217",5869.9331057362
"218",2730.81440573382
"219",2616.13775017131
"220",5806.13936301369
"221",5609.23714711872
"222",5986.22695546172
"223",9895.12115322549
"224",5929.05192524211
"225",5862.12369222135
"226",6312.22953765756
"227",3237.30914225429
"228",2643.4316471576
"229",2379.58130984431
"230",6216.07251672752
"231",17843.8838323484
"232",5918.30184209423
"233",5968.35945576843
"234",11302.0159359947
"235",2748.11822319683
"236",2539.4315369505
"237",2564.18081269672
"238",6657.11791295778
"239",5679.54400867792
"240",5801.37457778741
"241",6089.28629491807
"242",9861.02792014295
"243",10261.5202449633
"244",6475.82071920997
"245",10648.2122202322
"246",2488.34489139847
"247",6867.04398055152
"248",5934.98874572102
"249",10540.6652709766
"250",2070.13192710554
"251",10258.6758909636
"252",14657.4718628937
"253",6193.82103078388
"254",14267.829086741
"255",2385.73818091704
"256",1872.2657818707
"257",2249.53231855057
"258",6234.04737324235
"259",14047.3983233995
"260",2293.90726352167
"261",10142.4983273138
"262",14458.0004948702
"263",6235.06839965308
"264",1994.63441702007
"265",2527.73729926799
"266",2352.54371233663
"267",3100.44684987337
"268",5879.76986562769
"269",10051.4539960758
"270",13807.1024355407
"271",5976.64101845414
"272",6056.23480719333
"273",10858.5919377183
"274",5891.11847853318
"275",6870.58415719468
"276",5908.60856348712
"277",6188.82779446063
"278",2355.0323637559
"279",2504.42600545468
"280",6230.66570077763
"281",2350.92014811416
"282",5820.52614562481
"283",6801.17095779167
"284",2093.08259086062
"285",6559.18175360941
"286",14378.172948013
"287",2107.96355499877
"288",6866.35477022629
"289",2372.67819003188
"290",6376.61234081925
"291",2658.05132684401
"292",10201.1499263055
"293",2263.07140519181
"294",10227.3839540355
"295",2480.38780310891
"296",1971.81034485927
"297",10188.5221866255
"298",5822.41861152255
"299",2491.46951857002
"300",2583.05779643364
